attention_score,news_total,blog_total,policy_total,twitter_total,facebook_total,mendeley_total,fk_id_crp,fk_id_phases,fk_id_altmetrics_info
386,45,3,0,13,0,48,2,23,236
2,0,0,0,3,0,25,2,23,237
4,0,0,0,6,0,14,2,23,238
6,0,0,0,8,0,12,2,23,239
18,0,0,3,14,0,76,2,23,240
12,0,1,0,6,0,15,2,23,241
0,0,0,0,0,0,0,2,23,242
21,0,1,0,21,0,62,2,23,243
8,0,0,1,6,0,34,2,23,244
23,0,1,0,25,0,22,2,23,245
20,1,2,0,1,0,25,2,23,246
11,0,0,2,8,0,46,2,23,247
18,0,2,1,4,0,76,2,23,248
1,0,0,0,1,0,54,2,23,249
6,0,1,0,0,0,7,2,23,250
3,0,0,0,4,0,61,2,23,251
4,0,0,0,5,0,16,2,23,252
5,0,0,1,3,0,9,2,23,253
62,0,5,1,43,0,196,2,23,254
0,0,0,0,0,0,0,2,23,255
13,0,1,0,7,0,34,2,23,256
12,0,0,1,12,0,108,2,23,257
1851,161,30,1,553,16,403,2,23,258
9,0,1,0,3,0,43,2,23,259
48,1,5,2,11,0,169,2,23,260
1,0,0,0,1,0,45,2,23,261
5,0,0,0,6,0,24,2,23,262
15,0,2,0,3,0,89,2,23,263
18,0,2,1,5,0,30,2,23,264
0,0,0,0,0,0,0,2,23,265
48,3,3,0,6,0,32,2,23,266
8,0,1,0,1,0,10,2,23,267
43,1,5,1,3,0,73,2,23,268
9,0,0,0,13,0,134,2,23,269
36,4,1,1,0,0,24,2,23,270
1,0,0,0,2,0,12,2,23,271
13,0,2,0,1,0,49,2,23,272
312,32,4,1,44,0,78,2,23,273
15,0,2,0,4,0,45,2,23,274
64,0,5,1,46,0,161,2,23,275
1,0,0,0,1,0,18,2,23,276
203,0,0,3,300,1,454,2,23,277
8,0,0,1,8,0,59,2,23,278
9,0,1,0,2,0,4,2,23,279
2,0,0,0,3,0,53,2,23,280
4,0,0,0,5,0,41,2,23,281
11,0,1,0,5,0,122,2,23,282
34,0,2,0,27,0,83,2,23,283
250,1,2,0,356,1,78,2,23,284
46,1,4,1,18,1,47,2,23,285
77,0,4,1,70,0,183,2,23,286
78,6,4,2,3,0,67,2,23,287
10,0,1,0,4,0,93,2,23,288
56,0,7,0,25,2,144,2,23,289
38,0,6,0,8,0,33,2,23,290
6,0,0,0,9,0,39,2,23,291
0,0,0,0,0,0,0,2,23,292
0,0,0,0,0,0,0,2,23,293
15,0,1,0,9,0,39,2,23,294
8,0,1,0,1,0,21,2,23,295
6,0,1,0,0,0,6,2,23,296
13,0,2,0,1,0,13,2,23,297
4,0,0,0,6,0,30,2,23,298
81,4,7,2,12,0,135,2,23,299
1,0,0,0,1,0,58,2,23,300
9,0,1,0,1,0,27,2,23,301
0,0,0,0,0,0,0,2,23,302
0,0,0,0,0,0,0,2,23,303
16,0,1,0,11,0,69,2,23,304
1,0,0,0,1,0,48,2,23,305
24,0,2,0,15,1,93,2,23,306
5,0,0,0,7,0,108,2,23,307
1,0,0,0,2,0,35,2,23,308
38,0,5,1,13,0,56,2,23,309
51,0,3,0,43,0,36,2,23,310
1,0,0,0,1,0,31,2,23,311
3,0,0,0,3,0,44,2,23,312
1,0,0,0,2,0,23,2,23,313
20,0,1,0,16,0,91,2,23,314
7,0,0,0,8,0,16,2,23,315
49,2,1,0,35,2,162,2,23,316
2,0,0,0,2,0,63,2,23,317
19,1,2,0,0,0,27,2,23,318
87,6,4,0,29,0,69,2,23,319
28,0,1,2,21,0,251,2,23,320
12,0,1,0,1,0,27,2,23,321
2,0,0,0,3,0,18,2,23,322
6,0,1,0,0,0,15,2,23,323
33,0,2,0,32,0,142,2,23,324
0,0,0,0,0,0,0,2,23,325
2,0,0,0,4,0,34,2,23,326
10,0,1,0,3,0,28,2,23,327
32,0,3,0,23,0,25,2,23,328
8,0,1,0,1,0,12,2,23,329
0,0,0,0,0,0,0,2,23,330
16,0,1,0,10,0,48,2,23,331
71,0,3,0,70,1,34,2,26,1446
98,0,8,0,85,0,81,2,26,1447
22,0,3,0,6,0,80,2,26,1448
