attention_score;news_total;blog_total;policy_total;twitter_total;facebook_total;mendeley_total;fk_id_crp;fk_id_phases;fk_id_altmetrics_info
3;0;0;0;5;0;3;4;54;506
3;0;0;0;7;0;27;4;54;508
3;0;0;0;5;0;17;4;54;512
3;0;0;0;5;0;7;4;54;513
3;0;0;0;5;1;65;4;54;514
3;0;0;0;5;0;39;4;54;517
3;0;0;0;3;0;20;4;54;518
3;0;0;0;7;0;15;4;54;520
3;0;0;0;7;0;40;4;54;522
3;0;0;0;4;1;8;4;54;526
3;0;0;0;9;0;43;4;54;533
3;0;0;0;6;0;7;4;54;537
3;0;0;0;6;0;21;4;54;539
2;0;0;0;5;0;12;4;54;540
2;0;0;0;5;0;1;4;54;563
2;0;0;0;4;0;12;4;54;572
2;0;0;0;3;0;37;4;54;575
2;0;0;0;4;0;111;4;54;579
2;0;0;0;5;0;28;4;54;580
2;0;0;0;7;0;6;4;54;589
2;0;0;0;5;0;22;4;54;592
1;0;0;0;1;0;14;4;54;599
1;0;0;0;2;0;14;4;54;604
1;0;0;0;0;1;5;4;54;605
1;0;0;0;1;0;29;4;54;607
1;0;0;0;2;2;4;4;54;612
1;0;0;0;3;0;8;4;54;618
1;0;0;0;1;1;5;4;54;620
1;0;0;0;1;0;7;4;54;621
1;0;0;0;1;0;0;4;54;625
1;0;0;0;1;0;9;4;54;631
1;0;0;0;0;1;4;4;54;635
1;0;0;0;1;0;20;4;54;636
1;0;0;0;2;0;15;4;54;637
1;0;0;0;1;0;9;4;54;646
1;0;0;0;1;0;13;4;54;653
1;0;0;0;4;0;20;4;54;656
1;0;0;0;3;0;24;4;54;669
1;0;0;0;0;1;7;4;54;670
1;0;0;0;4;0;31;4;54;695
1;0;0;0;2;0;32;4;54;696
1;0;0;0;2;0;4;4;54;716
1;0;0;0;4;0;28;4;54;732
1;0;0;0;3;0;33;4;54;733
1;0;0;0;2;0;4;4;54;735
1;0;0;0;2;0;12;4;54;738
1;0;0;0;1;1;16;4;54;741
1;0;0;0;1;0;0;4;54;747
1;0;0;0;1;0;23;4;54;750
1;0;0;0;3;0;7;4;54;755
1;0;0;0;1;0;41;4;54;756
1;0;0;0;1;0;7;4;54;762
1;0;0;0;2;0;20;4;54;768
1;0;0;0;1;0;6;4;54;769
1;0;0;0;0;1;5;4;54;770
